Lemma_1,Lemma_2,Type,isCognate
тихий,бесшумный,Синонимы,0
аргумент,довод,Синонимы,0
гуманность,человечность,Синонимы,0
деструктивный,разрушительный,Синонимы,0
детальный,подробный,Синонимы,0
дискуссия,спор,Синонимы,0
криминальный,преступный,Синонимы,0
мобильность,подвижность,Синонимы,0
моментальный,мгновенный,Синонимы,0
монумент,памятник,Синонимы,0
приватный,частный,Синонимы,0
прогноз,предсказание,Синонимы,0
прогресс,продвижения,Синонимы,0
реставрация,восстановление,Синонимы,0
стагнация,застой,Синонимы,0
сфера,область,Синонимы,0
фундаментальный,основополагающий,Синонимы,0
хобби,увлечение,Синонимы,0
эксперимент,опыт,Синонимы,0
популярный ,распространенный,Синонимы,0
муж,супруг,Синонимы,0
жена,супруга,Синонимы,0
желание,стремление,Синонимы,0
истина,правда,Синонимы,0
факт,действительность,Синонимы,0
мороз,стужа,Синонимы,0
мороз,холод,Синонимы,0
стоимость,цена,Синонимы,0
врач,медик,Синонимы,0
доктор,лекарь,Синонимы,0
тьма,мрак,Синонимы,0
оригинальность,неординарность,Синонимы,0
статья,публикация,Синонимы,0
доклад,речь,Синонимы,0
смех,хохот,Синонимы,0
анекдот,шутка,Синонимы,0
разговорный,словесный,Синонимы,0
болезнь,недуг,Синонимы,0
преподаватель,насставник,Синонимы,0
учитель,ментор,Синонимы,0
участок,территория,Синонимы,0
договор,контракт,Синонимы,0
соглашение,сделка,Синонимы,0
соревнование,конкурс,Синонимы,0
турнир,состязание,Синонимы,0
мать,мама,Синонимы,0
отец,папа,Синонимы,0
помощь,поддержка,Синонимы,0
коллега,партнер,Синонимы,0
замена,ротация,Синонимы,0
просьба,заявка,Синонимы,0
закат,заход,Синонимы,0
ужас,кошмар,Синонимы,0
метод,способ,Синонимы,0
труп,мертвец,Синонимы,0
теплица,парник,Синонимы,0
оранжерея,парник,Синонимы,0
анкета,бланк,Синонимы,0
путешествие,экспедиция,Синонимы,0
план,схема,Синонимы,0
провод,кабель,Синонимы,0
экран,дисплей,Синонимы,0
разговор,общение,Синонимы,0
термин,понятие,Синонимы,0
мусор,отходы,Синонимы,0
положительный,хороший,Синонимы,0
контроль,управление,Синонимы,0
пара,дуэт,Синонимы,0
модель,макет,Синонимы,0
макет,образец,Синонимы,0
звезда,знаменитость,Синонимы,0
сумка,портфель,Синонимы,0
громкий,шумный,Синонимы,0
золотой,дорогой,Синонимы,0
умный,интеллектуальный,Синонимы,0
гуттаперчевый,гибкий,Синонимы,0
любимый,обожаемый,Синонимы,0
зрелый,взрослый,Синонимы,0
веселье,радость,Синонимы,0
луна,месяц,Синонимы,0
актер,артист,Синонимы,0
добрый,добросердечный,Синонимы,0
банально,заурядно,Синонимы,0
тривиально,неоригинально,Синонимы,0
раздражать,сердить,Синонимы,0
восторг,ликование,Синонимы,0
циничный,безнравственный,Синонимы,0
состоятельность,зажиточность,Синонимы,0
оригинальный,самобытный,Синонимы,0
лапидарный,лаконичный,Синонимы,0
